# name repository ref
revive https://github.com/mgechev/revive.git master
golangci-lint https://github.com/golangci/golangci-lint.git master
goreleaser https://github.com/goreleaser/goreleaser.git main
hugo https://github.com/gohugoio/hugo.git master
gitea https://github.com/go-gitea/gitea.git main
rclone https://github.com/rclone/rclone.git master
kubernetes https://github.com/kubernetes/kubernetes.git master
etcd https://github.com/etcd-io/etcd.git main
grpc-go https://github.com/grpc/grpc-go.git master
delve https://github.com/go-delve/delve.git master
cilium https://github.com/cilium/cilium.git main
pact-go https://github.com/pact-foundation/pact-go.git master
go-github https://github.com/google/go-github.git master
gin https://github.com/gin-gonic/gin.git master
prometheus https://github.com/prometheus/prometheus.git main
caddy https://github.com/caddyserver/caddy.git master
